"season","yr","mnth","weekday","workingday","weathersit","atemp","hum","windspeed","predicted"
"1","0","1","6","0","2",0.363625,0.805833,0.160446,1436
"1","0","1","3","1","1",0.22927,0.436957,0.1869,1302
"1","0","1","6","0","2",0.162254,0.535833,0.266804,1283
"1","0","1","0","0","1",0.116175,0.434167,0.36195,1206
"1","0","1","2","1","2",0.191464,0.686364,0.122132,907
"1","0","1","5","1","1",0.188413,0.537826,0.126548,1456
"1","0","1","4","1","2",0.25505,0.538333,0.195904,1462
"1","0","1","6","0","1",0.0790696,0.4,0.17197,1283
"1","0","2","5","1","2",0.228587,0.585217,0.127839,1697
"1","0","2","2","1","1",0.186033,0.577778,0.195683,1580
"1","0","2","4","1","2",0.289191,0.697391,0.250496,1610
"1","0","2","1","1","2",0.400118,0.876364,0.289686,2018
"1","0","3","3","1","2",0.286608,0.775417,0.22015,1687
"1","0","3","0","0","1",0.380091,0.527391,0.270604,1850
"1","0","3","4","1","1",0.410333,0.602917,0.209579,2570
"2","0","3","2","1","1",0.440642,0.624583,0.22575,3107
"2","0","3","1","1","1",0.257574,0.302174,0.212204,1945
"2","0","3","2","1","1",0.292908,0.314167,0.226996,1945
"2","0","4","1","1","2",0.565217,0.716956,0.324474,3642
"2","0","4","5","0","1",0.441913,0.67125,0.226375,3750
"2","0","4","6","0","3",0.425492,0.888333,0.340808,1512
"2","0","4","4","1","1",0.453892,0.407083,0.325258,3623
"2","0","4","5","1","2",0.321954,0.729583,0.219521,2266
"2","0","4","3","1","2",0.575142,0.835417,0.3122,3703
"2","0","5","4","1","2",0.510742,0.829583,0.108213,4436
"2","0","5","1","1","2",0.590296,0.81,0.233842,3988
"2","0","5","4","1","1",0.654688,0.6775,0.199642,4649
"2","0","6","6","0","1",0.594696,0.45625,0.123142,5029
"2","0","6","6","0","1",0.678038,0.654583,0.15485,4192
"2","0","6","1","1","1",0.601654,0.494583,0.30535,4870
"2","0","6","2","1","1",0.591546,0.507083,0.269283,4967
"2","0","6","3","1","1",0.587754,0.471667,0.167912,4967
"2","0","6","1","1","2",0.595346,0.74625,0.155475,4191
"3","0","6","4","1","2",0.693833,0.703333,0.238804,4150
"3","0","6","1","1","2",0.637004,0.658333,0.107588,4499
"3","0","6","3","1","1",0.654688,0.497917,0.261821,4880
"3","0","6","4","1","1",0.637008,0.434167,0.185312,4967
"3","0","7","6","0","1",0.667308,0.444583,0.115062,4855
"3","0","7","4","1","1",0.635104,0.47625,0.240667,4967
"3","0","7","3","1","1",0.74685,0.707083,0.113817,3949
"3","0","7","4","1","2",0.826371,0.69125,0.222021,3643
"3","0","7","3","1","1",0.690667,0.402917,0.183463,4439
"3","0","7","4","1","1",0.7399,0.583333,0.178479,4201
"3","0","8","2","1","1",0.707071,0.49125,0.20585,4439
"3","0","9","5","1","2",0.604808,0.727083,0.139929,4171
"3","0","9","2","1","3",0.5152,0.886957,0.343943,2329
"3","0","9","3","1","3",0.544229,0.917083,0.0970208,2907
"3","0","9","5","1","2",0.578946,0.897917,0.124379,4383
"3","0","9","1","1","1",0.60213,0.692174,0.088913,4644
"3","0","9","1","1","2",0.529675,0.69,0.151742,4096
"3","0","9","2","1","2",0.532217,0.88125,0.134954,3770
"4","0","9","5","1","2",0.522125,0.9725,0.0783667,4323
"4","0","9","5","1","1",0.544829,0.6475,0.206475,4636
"4","0","10","6","0","1",0.513242,0.70125,0.0454042,4729
"4","0","10","6","0","1",0.425492,0.629167,0.0926667,4161
"4","0","10","0","0","1",0.321329,0.62375,0.176617,3152
"4","0","10","1","1","1",0.356063,0.703333,0.10635,3367
"4","0","11","0","0","1",0.362358,0.734583,0.0920542,3367
"4","0","11","5","0","1",0.306817,0.44625,0.314675,3320
"4","0","11","0","0","2",0.457058,0.684583,0.18595,3329
